name,cat_loc,rating,review,description,price_range
같이양조장 투게더다이닝,전통주 • 합정,4.8,(4),초보자용부터 숙련자용까지 아우르는 다양한 막걸리.  막걸리를 무제한으로 제공하는 막퍼주막 !,점심 가격변동 · 저녁 가격변동
선명,이자카야 • 건대,4.9,(121),"밝음과 따스함이 있는 곳 할 수 있고 하고 싶은 음식을 만듭니다.대표 메뉴인 숙성회를 비롯해,다양한 무국적의 요리를 선보입니다.",점심 영업안함 · 저녁 가격변동
계영배,와인 • 을지로,4.9,(44),오리엔탈 무드의 고혹적인 와인바,점심 영업안함 · 저녁 가격변동
미미재,한식 • 한남,4.8,(7),편안한 공간에서 특별한 시간을 보낼 수 있는 프라이빗 원테이블 다이닝 '미미재(美味在)'입니다.,점심 영업안함 · 저녁 가격변동
술패도니,이자카야 • 종각,4.2,(9),룸 형식과 개방된 홀이 있는 이자카야,점심 영업안함 · 저녁 가격변동
제스트,"칵테일,위스키 • 청담",4.7,(70),"SUSTAINABLE FINE DRINKING  우리를 둘러싼 환경에서 영감을 얻고, 우리가 속한 커뮤니티와 함께 성장하며, 지속가능한 FINE DRINKING 문화를 만들어갑니다.",점심 영업안함 · 저녁 가격변동
TULIP 논현점,와인 • 논현,5.0,(5),"테이블 이용료: 5000원/인당와인 바틀&포장, 배달 음식글라스 와인",점심 영업안함 · 저녁 가격변동
토리비 합정점,와인 • 합정,4.8,(3),"이자카야, 맥주, 하이볼 테바사키와 토리나베 전문점",점심 영업안함 · 저녁 가격변동
골목바이닐앤펍,"칵테일,위스키 • 이태원",NA,NA,"다양한 와인과 위스키, 칵테일을 즐길 수 있는 뮤직바",점심 영업안함 · 저녁 가격변동
정직한우,소고기구이 • 동소문,NA,NA,신선한 한우와 한돈을 가성비 좋게 먹을 수 있는 정육식당,점심 가격변동 · 저녁 가격변동
톤 아날로그,"칵테일,위스키 • 마포",NA,NA,"낮에는 브런치, 밤에는 위스키와 칵테일로 좋은 음악을 들으며 즐길 수 있는 작고 아담한 공간",점심 가격변동 · 저녁 가격변동
블루밍 재즈바,"칵테일,위스키 • 역삼",4.6,(51),"차분하게 즐기는 나만의 재즈바, 그리고 음악라이브 재즈공연 - 금,토 8:30 ~ 10:30",점심 영업안함 · 저녁 가격변동
몰트바 루바토,"칵테일,위스키 • 마포",5.0,(2),"여의도 야경과 전문 바텐더의 칵테일, 그리고 300여가지의 위스키를 함께 즐길 수 있는 위스키바",점심 영업안함 · 저녁 가격변동
테누토,"칵테일,위스키 • 여의도",4.8,(3),여의도 도심 속 클래식칵테일과 다양한 싱글몰트로 힐링하는 BAR,점심 영업안함 · 저녁 가격변동
한와담 이재,소고기구이 • 장충동,4.9,(34),"기쁨이 있는 공간, 한와담 이재에서 VIP고객님들을 위한 프라이빗 다이닝",점심 가격변동 · 저녁 가격변동
블루레인라운지,"칵테일,위스키 • 종로",4.8,(6),시그니처 칵테일과 분위기 좋은 호텔 라운지바쁘띠 애프터눈티로 인생사진도 남겨보세요 :),점심 가격변동 · 저녁 가격변동
W(더블유),와인 • 압구정로데오,5.0,(5),"저희 클럽 W(더블유)는 미술품 기획 전시, 각종 모임 및 대관을 하는 멤버쉽 와인 클럽 및 와인과 함께 즐길거리로 운영되는 매장입니다. 감사합니다.",점심 가격변동 · 저녁 가격변동
복싱타이거 (Boxing tiger),"칵테일,위스키 • 신사",4.9,(9),아는 사람들만 가는 간판 없는 힙한 스피크이지 바,점심 영업안함 · 저녁 가격변동
바 더스크 잠실방이점,"칵테일,위스키 • 방이",5.0,(22),250가지 위스키를 보유한 정통 몰트바,점심 영업안함 · 저녁 가격변동
더스토리지룸,"칵테일,위스키 • 성수",5.0,(4),지하의 비밀 통로로 연결되는 1920년 뉴욕의 스픽이지바,점심 영업안함 · 저녁 가격변동
와인나라 서래점,와인 • 서래마을,NA,NA,와인나라에서 유일하게 와인bar와 함께 운영하는 와인나라 서래마을점!,점심 가격변동 · 저녁 가격변동
에이지트,"칵테일,위스키 • 역삼",5.0,(1),감각적인 인테리어 공간의 언제든 편한 친구같은 공간,점심 가격변동 · 저녁 가격변동
책바 Chaeg Bar,"칵테일,위스키 • 망원",4.8,(85),"책과 술의 공감각을 구현하는 공간* 소설을 모티브로 탄생한 시그니처 칵테일, 문학 속에 등장하는 다양한 칵테일과 위스키를 만날 수 있습니다. 책을 큐레이션하여 판매하며, 혼자 방문하시는 모든 분들을 환영합니다.",점심 영업안함 · 저녁 가격변동
금금금,와인 • 연신내,4.8,(2),외부음식 반입 가능한 연신내 분위기 좋은 와인바,점심 영업안함 · 저녁 가격변동
알로소 윈터리빙룸,,4.9,(125),하이엔드 리빙 브랜드 Alloso에서 겨울 동안 운영하는 윈터리빙룸 입니다.,점심 가격변동 · 저녁 가격변동
백룸,"칵테일,위스키 • 용산",5.0,(1),술에 취하는 것을 지양하며 Midnight Tea Party에 어울리는 한잔을 준비하는 위스키바,점심 영업안함 · 저녁 가격변동
엘파라디조 (EL PARADISO),"칵테일,위스키 • 청량리",NA,NA,조용한 골목에 위치한 전문 칵테일바,점심 영업안함 · 저녁 가격변동
제이앤제이바,"칵테일,위스키 • 사당",NA,NA,힙한 분위기에서 다양한 칵테일과 위스키를 즐길 수 있는 공간,점심 영업안함 · 저녁 가격변동
헤더상암 (Heather sangam),"칵테일,위스키 • 상암",5.0,(3),쾌적하고 편한하게 위스키를 즐길 수 있는 곳 입니다! 위스키 입문자 부담없이 방문해주세요~ 룸이 있어서 편안하게 드실수있고 저희는 서비스를 제일 중요시 하기때문에 믿고 방문해주세요 ^^,점심 영업안함 · 저녁 가격변동
마이재즈가든,"칵테일,위스키 • 마곡",5.0,(2),지친 일상에 쉬어가는 작은 나만의 아지트,점심 영업안함 · 저녁 가격변동
개화 플로이죵,프랑스음식 • 서촌,4.9,(37),🥀계절별 테마의 오리지널 프렌치 레스토랑🥀2nd Saison Theme '타오르는 바스크' 6월 13일~🇨🇵🔥🇪🇦🇨🇵 계절마다의 시즌 시그니쳐 코스🇨🇵 요리에 맞는 프랑스 와인 리스트와 주류🇲🇫 식사 시간 제한 없음,점심 영업안함 · 저녁 가격변동
리퀴드소울,"칵테일,위스키 • 서래마을",NA,NA,다시 돌아온 서래마을의 터줏대감 바 🥃,점심 영업안함 · 저녁 가격변동
세컨드필,"칵테일,위스키 • 서촌",5.0,(3),위스키 칵테일 와인 바,점심 영업안함 · 저녁 가격변동
세올,"칵테일,위스키 • 서울역",NA,NA,"혼자에겐 방해받지 않을 공간, 둘에게는 아늑하고 로맨틱한 공간",점심 영업안함 · 저녁 가격변동
재즈엑스오버,와인 • 성수,4.7,(15),재즈와 예술이 공존하는 성수동 재즈클럽 JAZZXOVER,점심 영업안함 · 저녁 가격변동
비놀릭 스위트,유러피안음식 • 역삼,4.9,(9),프라이빗한 공간에서 즐기는 압도적인 가성비의 유러피안 코스,점심 가격변동 · 저녁 가격변동
바노츠,용산,NA,NA,"스토리를 기반으로 다양한 칵테일,위스키를 소개해드립니다.",점심 영업안함 · 저녁 가격변동
매거진노츠,"칵테일,위스키 • 용산",NA,NA,"매거진을기반으로,다양한커피와위스키,칵테일을소개해드립니다",점심 가격변동 · 저녁 가격변동
조도,이자카야 • 여의도,5.0,(26),여의도 최초 산지 제철 참숯구이 전문점,점심 영업안함 · 저녁 가격변동
스펠,"칵테일,위스키 • 반포",NA,NA,"다양한 종류의 위스키(싱글몰트, 버번 등), 칵테일 바",점심 영업안함 · 저녁 가격변동
루팡,"칵테일,위스키 • 청담",NA,NA,청담동 최초 클래식 바 Since 2013,점심 영업안함 · 저녁 가격변동
송파 레띠에 와인 bar,와인 • 문정,NA,NA,조용한 분위기의 와인을 즐기는 공간,점심 1만원 미만 · 저녁 가격변동
오드비,"칵테일,위스키 • 성수",NA,NA,밝고 가벼운 문화를 지향하는 크리에이티브한 칵테일 바,점심 영업안함 · 저녁 가격변동
더테라스,와인 • 군자,NA,NA,다양한 공간에서 프라이빗한 여유를 즐길 수 있는 와인 다이닝,점심 영업안함 · 저녁 가격변동
레드시네마,"칵테일,위스키 • 청담",5.0,(1),시네마 형태의 위스키와 시그니처 칵테일을 즐길 수 있는 고급스러운 공간,점심 영업안함 · 저녁 가격변동
나카스 하이볼 클럽,일식 • 연남,NA,NA,다양한 하이볼과 매일 바뀌는 음식이 있는 쇼와시대 일본 호텔 바 컨셉의 공간,점심 영업안함 · 저녁 가격변동
공간이도,와인 • 신사,NA,NA,타인과 마주치지않고 프라이빗하게 즐기는 와인 한잔,점심 가격변동 · 저녁 가격변동
그로떼 와인앤위스키,연남,NA,NA,편인한 분위기 속 다양한 주류를 즐길 수 있는 공간,점심 영업안함 · 저녁 가격변동
바테일러,"칵테일,위스키 • 성북",NA,NA,성북구에 위치한 고즈넉한 한옥 클래식 바,점심 영업안함 · 저녁 가격변동
우나 히츠마부시,일식 • 용산,NA,NA,우나 히츠마부시,점심 가격변동 · 저녁 가격변동
프라이빗다이닝인,이탈리아음식 • 강남구청,5.0,(1),최상의 재료를 사용한 다이닝을 즐길 수 있는 프라이빗한 곳,점심 영업안함 · 저녁 가격변동
NDA 용리단길,"칵테일,위스키 • 신용산",NA,NA,프라이빗한 캐주얼 스피크이지바,점심 영업안함 · 저녁 가격변동
신라스테이 서초 Cafe,뷔페 • 서초,4.3,(162),합리적인 가격의 모던 & 캐주얼 뷔페 레스토랑,점심 2.9 - 3.9만원 · 저녁 영업안함
스시사카바,다이닝바 • 한남,4.4,(181),"최근, 일본에서 유행하는 '스시사카바'를 아시나요?좋은 품질의 고급 스시와 사케를 저렴하게 즐기는 곳입니다.지금, 한남동에서 일본 할머니의 두 손자가 '스시사카바'를 오픈했습니다.신나는 음악과, 사케, 그리고 고급 스시를 저렴하게 맛볼 수 있습니다",점심 영업안함 · 저녁 영업안함
베이스이즈나이스,베지테리안/비건 • 마포,4.9,"(1,026)",채식의 품격을 높이는 건강한 채소 친화적 레스토랑,점심 1 - 2만원 · 저녁 영업안함
웨스틴조선서울 라운지&바,다이닝바 • 명동,4.4,(222),환구단이 보이는 아늑한 공간에서 만남을 즐기는 라운지&바,점심 3 - 10만원 · 저녁 영업안함
Cafe 시그니처키친스위트,브런치 • 압구정,4.6,(321),오스틴강 셰프가 시그니처 키친 스위트 가전으로 선보이는 브런치,점심 2 - 8만원 · 저녁 영업안함
포포인츠 바이 쉐라톤 조선 서울역 더 이터리,뷔페 • 서울역,4.5,(96),환상적인 도심의 스카이라인 전망과 함께 다양한 음식을 경험하는 뷔페,점심 5.3 - 6.5만원 · 저녁 영업안함
포포인츠 바이 쉐라톤 조선 서울 명동 에볼루션,뷔페 • 명동,4.6,(112),을지로의 유니크한 전망과 함께 즐기는 디저트 찐 맛집 뷔페 레스토랑,점심 4.5 - 5.5만원 · 저녁 영업안함
더 피아 1972,뷔페 • 광화문,4.0,(29),광화문 거리뷰를 보며 즐기는 조식 뷔페&주말 브런치 뷔페,점심 2 - 3만원 · 저녁 영업안함
세르클 한남,브런치 • 한남,4.8,(33),"브런치와 디저트, 다양한 메뉴들을 테라스와 넓은 공간에서 즐길 수 있는 복합식음공간",점심 1 - 3만원 · 저녁 영업안함
그레인 파티세리,"카페,디저트 • 신용산",4.7,(16),신용산의 아늑한 밀푀유 전문 파티세리,점심 1 - 2만원 · 저녁 영업안함
윰드,브런치 • 청담,4.6,(88),건강한 아침을 시작하는 브런치 카페,점심 1 - 3만원 · 저녁 영업안함
황장금 압구정로데오점,한식 • 압구정로데오,NA,NA,"깔끔한 주방에서 깨끗하게 조리합니다.또한, 안전하고 깨끗한 제품을 공급하기 위해HACCP 인증된 믿을 수 있는 제조시설에서생산된 재료들로 기본손질을 진행하여 더 믿을 수 있는위생과 영향을 함유할 수 있도록 했습니다.",점심 1 - 2만원 · 저녁 영업안함
이비스 앰배서더 서울 인사동 테이스트 레스토랑,뷔페 • 익선,NA,NA,캐쥬얼하고 편안한 분위기와 신선한 재료의 다양한 음식,점심 2.9만원 · 저녁 영업안함
베어스덴 브런치,브런치 • 신촌,NA,NA,매일 직접 만든 빵과 신선한 샐러드,점심 1 - 2만원 · 저녁 영업안함
짝이야 봉천점,소고기구이 • 서울대입구,NA,NA,국내산 소갈비살 전문 봉천동 맛집,점심 영업안함 · 저녁 영업안함
차담,"카페,디저트 • 정릉",NA,NA,전통차를 현대적인 느낌으로 즐길 수 있는 공간,점심 1 - 2만원 · 저녁 영업안함
티드빗,브런치 • 은평,NA,NA,아담하여 캐주얼한 분위기의 브런치 카페,점심 1 - 2만원 · 저녁 영업안함
옹기종기감자옹심이,한식 • 구로,4.8,(154),서울 감자옹심이 찐 맛집,점심 저녁 동일가 1만원 미만
올디스 타코,멕시코음식 • 을지로,4.6,"(1,401)",줄서서 먹는 힙지로 감성의 타코 맛집,점심 저녁 동일가 1만원 미만
불의여우 돈까스,일식 • 가락,5.0,(41),"등심,안심,생선, 돈가스 김치찌개 4가지 메뉴만 하는 1인 매장입니다.7가지 천연재료로 숙성하여 두툼,촉촉하고 바삭,고소한 맛이 조화로운 돈가스 전문점입니다.주차장 있습니다.만차시 가게앞 도로변에 세우시기도 합니다.항상 최선을 다하겠습니다.!!!",점심 저녁 동일가 1.3만원
가히 쿠킹클래스,,4.9,(88),"가장 크고, 가장 보기 드물고, 가장 오래된 큰철갑상어에서 얻은 벨루가 캐비어를 풍성하게 즐길 수 있는 가히만의 쿠킹클래스",무료제공
산리오 러버스 클럽 홍대점,"카페,디저트 • 홍대",3.9,"(1,674)","헬로키티, 마이멜로디, 쿠로미, 시나모롤, 폼폼푸린, 포차코, 케로케로케로피의 귀여운 굿즈와 메뉴를 만나보세요!",점심 저녁 동일가 1만원 미만
올드빅,다이닝바 • 해방촌,4.7,(91),"신흥시장 속 작은 카페테리아에서 낮은 브런치, 저녁은 디너&와인을 즐길 수 있는 공간",점심 저녁 동일가 1만원 미만
영동다방,"칵테일,위스키 • 논현",NA,NA,레트로 뮤직 & 칵테일을 컨셉으로 고객과 소통,점심 저녁 동일가 1만원 미만
나이스 망원,"카페,디저트",NA,NA,제철 및 자연식재료를 가지고 만드는 젤라또맛집,점심 저녁 동일가 1만원 미만
소인수서울,"곱창,막창 • 성수",4.8,(4),성수동에서 맛있는 곱창을 가장 깔끔하고 힙하게 즐길 수 있는 공간,1.2만원-4.2만원 · 2.2만원-6.3만원
반가안동국시,"국수,냉면",4.4,(3),한우 양지로만 육수를 낸 부드럽고 쫄깃함은 더욱 뛰어난 국수,점심 저녁 동일가 1만원 미만
청국장과보리밥 수서점,,NA,NA,유기농 청국장이 유명한 한정식집,점심 저녁 동일가 1만원 미만
잠실새내 와인바 슈발,다이닝바 • 잠실,4.9,(6),수제요리와 와인을 페어링 할 수 있는 클래식 와인바,점심 저녁 동일가 1만원 미만
꼬따 cotta,,4.7,(1),참나무 장작만으로 구운 나폴리식 화덕피자와 파스타가 맛있는 정통핏제리아,점심 저녁 동일가 1만원 미만
후제(fuje),코스요리 • 도곡,5.0,(70),제철재료를 사용하여 지속가능한 미식을 추구하는 비스트로노미 레스토랑,점심 6.5만원 · 저녁 6.5 - 11.5만원
취중서가 별장,"와인,위스키 • 연신내",4.9,(6),일상과 일탈의 경계에서 술 그리고 음악과 책,점심 저녁 동일가 1만원 미만
작은따옴표 도림천점,"카페,디저트 • 신림",5.0,(10),신림에서 만날 수 있는 유럽의 살롱공간 Cafe&PUB,점심 저녁 동일가 1만원 미만
선수촌가든,,4.9,(4),올림픽공원 산책 후 전좌석 룸에서 즐기는 한우 참숯불구이,1.1만 원-4만 원 · 3.6만 원-5만 원
미스타교자 본점,이자카야 • 서교,NA,NA,저렴한 일본식 중화요리 소요리를 하이볼과 함께 즐기기 좋은 주점,점심 영업안함 · 저녁 1만원 미만
레인보우포차 동대문점,,NA,NA,mz저격 인테리어&여심저격 안주&닭볶음탕 떡볶이 전문점,점심 저녁 동일가 1만원 미만
진가와 여의도점,,5.0,(2),일본 나가사키현을 기반으로 한 장인의 면을 일식 코스에 녹여낸 일식 전문점,점심 저녁 동일가 1만원 미만
창고43 마곡점,소고기구이 • 마곡,NA,NA,최적의 숙성으로 최고의 한우맛을 느낄 수 있는 곳,점심 2 - 10만원 · 저녁 6만원 ~
진가와 광화문점,,NA,NA,360년 전통 테노베면 과 다양양한 일본 가이세키를 경험할 수 있는 가성비 좋은 일식집,점심 저녁 동일가 1만원 미만
강남쪽갈비 논현역점,,5.0,(1),삼겹살이 지겨운 어느날에 강남쪽갈비를 추천합니다.,점심 저녁 동일가 1만원 미만
요이땅,이자카야 • 남영,NA,NA,"쿠시카츠(串カツ)와 숙성회 전문 이자카야.80년대 일본의 야타이 감성에서 즐기는 생맥주, 하이볼 한잔.",점심 저녁 동일가 1만원 미만
짐빔괴식당,퓨전음식 • 성수,4.5,(48),짐빔 하이볼과 괴식의 대환장 푸드 페어링,24.6.7 - 24.6.30 금토일만
위켄드,와인 • 송파,NA,NA,"한 주의 끝과 시작의 교차점인 ‘WEEKEND'라는 타이틀로 일상에서도 주말의 무드를 느낄 수 있는 친근하고, 캐주얼한 공간입니다.",점심 영업안함 · 저녁 1만원 미만
프렌밀리,,NA,NA,"3가지 와인을 무료로 시음할 수 있는, 프리테이스팅 다이닝 캐주얼 와인바 프렌밀리입니다.",점심 저녁 동일가 1만원 미만
재즈라운지,,NA,NA,와인과 예술의 감성이 묻어나는 공간,점심 저녁 동일가 1만원 미만
화우로,소고기구이 • 목동,5.0,(1),"한우 1등급과 같은 <프리미엄 와규 화로구이 전문점>기념일이나 특별한날, 단체회식하기 좋은 인테리어와 분위기워터에이징숙성으로 10가지 특수부위를 즐겨보세요",주말 점심 1 - 4 만원 · 저녁 1 - 4 만원
verve,다이닝바 • 중곡,NA,NA,디자이너가 만든 공간에서 재치있는 음식을 즐길 수 있는 곳,점심 저녁 동일가 1만원 미만
섭스,"칵테일,위스키 • 연남",NA,NA,연남동 끝자락 아늑한 공간에서 고품격 재즈 사운드 바,점심 저녁 동일가 1만원 미만
무념,"칵테일,위스키 • 영등포",NA,NA,생각을 내려 놓고 다양한 주류&음식을 즐길 수 있는 공간,점심 저녁 동일가 1만원 미만
다팀,퓨전음식 • 양재,NA,NA,쉐프 팀의 요리&여행 경험을 녹여낸 퓨전 이탈리안 레스토랑,점심 저녁 동일가 1만원 미만
